CustomerID,days_since_last_purchase,customer_age_days,active_days,total_orders,purchase_frequency,avg_items_per_order,avg_days_between_orders,avg_order_value,avg_item_value,CLV_Target
17850,271,272,1,34,3.75,50.970588235294116,0.030303030303030304,158.56500000000003,3.1109117137911144,0.0
13047,26,272,246,8,0.8823529411764706,145.5,35.142857142857146,335.25125,2.3041323024054985,555.53
12583,5,272,267,9,0.9926470588235294,384.77777777777777,33.375,470.24555555555554,1.2221224371931851,2354.4
13748,131,272,141,3,0.33088235294117646,74.33333333333333,70.5,193.61666666666665,2.6047085201793716,367.4
15100,232,272,40,3,0.33088235294117646,26.666666666666668,20.0,292.0,10.95,0.0
15291,71,272,201,11,1.2132352941176472,106.0,20.1,300.56999999999994,2.8355660377358487,1362.03
14688,28,272,244,15,1.6544117647058825,183.2,17.428571428571427,255.4246666666667,1.3942394468704513,1118.46
17809,28,272,244,8,0.8823529411764706,92.875,34.857142857142854,357.08875000000006,3.8448317631224773,2555.2
15311,11,272,261,63,6.948529411764706,457.41269841269843,4.209677419354839,714.2307936507935,1.5614581670541692,14460.56
16098,27,272,245,6,0.6617647058823529,83.5,49.0,285.415,3.418143712574851,293.14
18074,272,272,0,1,0.11029411764705882,190.0,0.0,489.6,2.576842105263158,0.0
17420,70,272,202,2,0.22058823529411764,84.5,202.0,195.755,2.316627218934911,207.32
16029,6,272,266,44,4.852941176470589,432.5,6.186046511627907,885.1802272727273,2.046659485023647,14868.32
16250,160,272,112,2,0.22058823529411764,104.0,112.0,194.72,1.8723076923076922,0.0
12431,18,272,254,11,1.2132352941176472,190.72727272727272,25.4,437.00636363636363,2.2912631077216394,1612.88
17511,13,272,259,20,2.2058823529411766,1845.75,13.631578947368421,2801.0935,1.5175909521874578,27507.59
13705,43,272,228,2,0.22058823529411764,118.0,228.0,178.84,1.515593220338983,0.0
13747,272,272,0,1,0.11029411764705882,8.0,0.0,79.6,9.95,0.0
